"","id_pedido","data_pedido","data_envio","modo_envio","tipo_prioridade"
"49","IN-2014-35983",2014-05-01,2014-05-01,"Mesmo Dia","Critico"
"50","MX-2014-126984",2014-12-18,2014-12-20,"Segunda Classe","Alto"
"51","US-2012-163825",2012-06-16,2012-06-19,"Primeira Classe","Alto"
"52","IR-2014-8540",2014-09-18,2014-09-21,"Primeira Classe","Critico"
"53","US-2014-135013",2014-07-25,2014-07-25,"Mesmo Dia","Alto"
"54","MZ-2013-3690",2013-12-18,2013-12-18,"Mesmo Dia","Alto"
"55","IN-2012-66342",2012-05-30,2012-05-31,"Primeira Classe","Critico"
"56","CA-2012-111829",2012-03-19,2012-03-20,"Primeira Classe","Alto"
"57","IN-2012-48240",2012-05-25,2012-05-28,"Segunda Classe","Critico"
"58","IN-2014-61792",2014-08-05,2014-08-06,"Primeira Classe","Alto"
"59","CA-2014-129021",2014-08-24,2014-08-27,"Segunda Classe","Medio"
"60","IN-2014-75470",2014-03-11,2014-03-13,"Segunda Classe","Alto"
"61","CA-2012-114811",2012-11-08,2012-11-08,"Mesmo Dia","Medio"
"62","ES-2014-4673578",2014-08-11,2014-08-16,"Segunda Classe","Medio"
"63","IT-2013-3376681",2013-08-31,2013-09-03,"Primeira Classe","Critico"
"64","IN-2014-66615",2014-01-18,2014-01-23,"Classe Padrao","Alto"
"65","CA-2013-143805",2013-12-02,2013-12-04,"Segunda Classe","Critico"
"66","IT-2014-4540740",2014-12-07,2014-12-08,"Primeira Classe","Alto"
"67","IN-2014-11231",2014-12-16,2014-12-19,"Primeira Classe","Critico"
"68","MX-2014-154907",2014-11-20,2014-11-20,"Mesmo Dia","Critico"
"69","UP-2011-8610",2011-11-09,2011-11-11,"Primeira Classe","Critico"
"70","IN-2013-40050",2013-06-07,2013-06-09,"Primeira Classe","Alto"
"71","MX-2011-110275",2011-11-22,2011-11-23,"Primeira Classe","Medio"
"72","CG-2013-6110",2013-03-29,2013-03-31,"Segunda Classe","Alto"
"73","IN-2014-30110",2014-08-26,2014-08-27,"Primeira Classe","Alto"
"74","ES-2012-2058076",2012-09-20,2012-09-22,"Segunda Classe","Alto"
"75","IN-2014-51950",2014-05-16,2014-05-18,"Segunda Classe","Critico"
"76","CA-2012-145352",2012-03-16,2012-03-22,"Classe Padrao","Medio"
"77","ES-2013-4670866",2013-11-24,2013-11-25,"Primeira Classe","Critico"
"78","IN-2011-62506",2011-11-09,2011-11-11,"Segunda Classe","Medio"
"79","IN-2011-46413",2011-10-28,2011-10-28,"Mesmo Dia","Critico"
"80","ES-2014-3785216",2014-11-19,2014-11-23,"Classe Padrao","Alto"
"81","MO-2014-2000",2014-10-28,2014-10-30,"Segunda Classe","Medio"
"82","CA-2014-138289",2014-01-17,2014-01-19,"Segunda Classe","Alto"
"83","CA-2014-118892",2014-08-18,2014-08-23,"Segunda Classe","Medio"
"84","ES-2013-1434123",2013-01-29,2013-02-05,"Classe Padrao","Baixo"
"85","ID-2012-78207",2012-09-18,2012-09-21,"Segunda Classe","Critico"
"86","MO-2013-8630",2013-11-23,2013-11-23,"Mesmo Dia","Medio"
"87","IN-2012-64774",2012-06-13,2012-06-13,"Mesmo Dia","Alto"
"88","IN-2013-48765",2013-10-28,2013-10-31,"Primeira Classe","Medio"
"89","IN-2013-69730",2013-12-12,2013-12-14,"Primeira Classe","Alto"
"90","US-2013-102239",2013-05-06,2013-05-07,"Primeira Classe","Critico"
"91","ES-2013-3467296",2013-12-02,2013-12-02,"Mesmo Dia","Critico"
"92","CA-2014-6550",2014-12-23,2014-12-25,"Segunda Classe","Critico"
"93","ID-2013-25742",2013-01-28,2013-01-30,"Primeira Classe","Alto"
"94","IN-2012-86698",2012-05-07,2012-05-07,"Mesmo Dia","Alto"
"95","ES-2013-2903666",2013-11-27,2013-11-29,"Primeira Classe","Alto"
"96","IN-2012-30446",2012-11-28,2012-12-02,"Segunda Classe","Medio"
"97","IT-2012-1779015",2012-09-29,2012-09-29,"Mesmo Dia","Critico"
"98","ES-2013-3903130",2013-09-03,2013-09-05,"Segunda Classe","Alto"
"99","CG-2013-3470",2013-07-26,2013-08-01,"Classe Padrao","Baixo"
"100","IN-2014-13639",2014-11-19,2014-11-25,"Classe Padrao","Baixo"
"101","ES-2012-2510515",2012-06-19,2012-06-19,"Mesmo Dia","Alto"
"102","MX-2012-153157",2012-10-11,2012-10-14,"Primeira Classe","Medio"
"103","ES-2011-2585328",2011-08-09,2011-08-11,"Primeira Classe","Critico"
"104","ES-2011-4500805",2011-11-05,2011-11-09,"Segunda Classe","Alto"
"105","CA-2014-107174",2014-11-07,2014-11-14,"Classe Padrao","Baixo"
"106","MX-2013-113824",2013-04-26,2013-04-28,"Primeira Classe","Alto"
"107","IN-2013-45076",2013-12-26,2013-12-26,"Mesmo Dia","Alto"
"108","IT-2013-5208514",2013-03-13,2013-03-13,"Mesmo Dia","Alto"
"109","US-2013-107440",2013-04-17,2013-04-21,"Classe Padrao","Medio"
"110","ES-2012-2314672",2012-04-05,2012-04-05,"Mesmo Dia","Alto"
"111","ES-2012-4765389",2012-12-26,2012-12-28,"Segunda Classe","Critico"
"112","IN-2013-15368",2013-04-18,2013-04-19,"Primeira Classe","Critico"
"113","IN-2011-18385",2011-05-24,2011-05-26,"Segunda Classe","Alto"
"114","CA-2012-149846",2012-05-22,2012-05-26,"Classe Padrao","Alto"
"115","ES-2013-2757712",2013-05-16,2013-05-20,"Segunda Classe","Alto"
"116","CA-2011-106726",2011-12-06,2011-12-08,"Primeira Classe","Critico"
"117","IT-2011-1978668",2011-02-16,2011-02-19,"Segunda Classe","Medio"
"118","IN-2013-63773",2013-05-31,2013-06-02,"Primeira Classe","Critico"
"119","IN-2013-10965",2013-10-01,2013-10-02,"Primeira Classe","Alto"
"120","CA-2011-145541",2011-12-14,2011-12-21,"Classe Padrao","Medio"
"121","CA-2013-117121",2013-12-18,2013-12-22,"Classe Padrao","Medio"
"122","ID-2013-79432",2013-12-11,2013-12-14,"Segunda Classe","Critico"
"123","IT-2014-4499061",2014-03-18,2014-03-21,"Segunda Classe","Critico"
"124","IN-2014-34226",2014-12-19,2014-12-20,"Primeira Classe","Critico"
"125","CA-2011-136567",2011-12-20,2011-12-21,"Primeira Classe","Alto"
"126","CA-2013-143714",2013-05-24,2013-05-28,"Classe Padrao","Medio"
"127","CA-2011-151330",2011-10-14,2011-10-17,"Primeira Classe","Critico"
"128","MX-2014-158386",2014-09-18,2014-09-18,"Mesmo Dia","Critico"
"129","IN-2013-30663",2013-11-25,2013-11-27,"Primeira Classe","Critico"
"130","IN-2013-77444",2013-11-07,2013-11-10,"Primeira Classe","Critico"
"131","IN-2014-39077",2014-07-19,2014-07-23,"Classe Padrao","Alto"
"132","ID-2012-60980",2012-08-16,2012-08-16,"Mesmo Dia","Alto"
"133","CA-2013-128594",2013-08-27,2013-08-30,"Primeira Classe","Critico"
"134","IN-2012-57025",2012-01-11,2012-01-15,"Classe Padrao","Alto"
"135","MX-2013-157868",2013-01-28,2013-01-30,"Primeira Classe","Medio"
"136","ID-2012-66111",2012-06-14,2012-06-17,"Primeira Classe","Critico"
"137","CA-2011-120474",2011-12-01,2011-12-03,"Primeira Classe","Alto"
"138","CA-2013-100300",2013-06-25,2013-06-27,"Segunda Classe","Alto"
"139","MX-2012-164791",2012-12-06,2012-12-08,"Primeira Classe","Alto"
"140","IT-2013-1350483",2013-09-05,2013-09-07,"Segunda Classe","Alto"
"141","SO-2014-4990",2014-09-18,2014-09-20,"Primeira Classe","Alto"
"142","CA-2014-149559",2014-09-12,2014-09-13,"Mesmo Dia","Critico"
"143","IN-2012-30943",2012-08-03,2012-08-08,"Classe Padrao","Alto"
"144","IN-2014-13324",2014-12-09,2014-12-11,"Primeira Classe","Alto"
"145","IN-2012-46889",2012-10-25,2012-10-28,"Primeira Classe","Critico"
"146","CA-2012-114069",2012-07-13,2012-07-15,"Segunda Classe","Critico"
"147","ID-2013-35640",2013-08-27,2013-08-29,"Segunda Classe","Alto"
"148","IN-2011-30292",2011-05-13,2011-05-17,"Classe Padrao","Alto"
"149","IT-2011-3675195",2011-11-03,2011-11-06,"Primeira Classe","Alto"
"150","ES-2014-2034971",2014-08-02,2014-08-03,"Primeira Classe","Critico"
"151","ES-2011-1426891",2011-09-20,2011-09-22,"Segunda Classe","Critico"
"152","CA-2014-159366",2014-01-08,2014-01-11,"Primeira Classe","Medio"
"153","IN-2013-14773",2013-03-11,2013-03-15,"Classe Padrao","Alto"
"154","ES-2012-4934238",2012-02-02,2012-02-05,"Primeira Classe","Alto"
"155","CA-2013-108987",2013-09-09,2013-09-11,"Segunda Classe","Critico"
"156","MX-2014-111941",2014-04-09,2014-04-13,"Classe Padrao","Alto"
"157","US-2013-143819",2013-03-02,2013-03-06,"Classe Padrao","Medio"
"158","MX-2014-152961",2014-03-19,2014-03-21,"Primeira Classe","Alto"
"159","IN-2013-17041",2013-10-02,2013-10-04,"Primeira Classe","Alto"
"160","ES-2013-4679331",2013-01-12,2013-01-15,"Primeira Classe","Medio"
"161","SA-2014-1270",2014-08-20,2014-08-25,"Classe Padrao","Medio"
"162","IN-2014-12897",2014-03-14,2014-03-18,"Classe Padrao","Alto"
"163","CA-2013-134887",2013-03-26,2013-03-26,"Mesmo Dia","Critico"
"164","ID-2014-10076",2014-07-09,2014-07-13,"Classe Padrao","Alto"
"165","ID-2013-70122",2013-06-11,2013-06-15,"Classe Padrao","Alto"
"166","ES-2011-2257437",2011-08-10,2011-08-17,"Classe Padrao","Medio"
"167","ID-2014-63920",2014-03-17,2014-03-21,"Classe Padrao","Alto"
"168","ID-2013-29564",2013-01-02,2013-01-03,"Primeira Classe","Medio"
"169","CA-2013-108196",2013-11-26,2013-12-03,"Classe Padrao","Baixo"
"170","ID-2012-36403",2012-10-10,2012-10-11,"Primeira Classe","Alto"
"171","CA-2014-127180",2014-10-23,2014-10-25,"Primeira Classe","Alto"
"172","IN-2011-19351",2011-06-17,2011-06-19,"Primeira Classe","Alto"
"173","ES-2014-5842530",2014-04-03,2014-04-05,"Primeira Classe","Alto"
"174","MX-2011-137897",2011-05-17,2011-05-20,"Segunda Classe","Alto"
"175","BO-2014-8960",2014-02-11,2014-02-15,"Segunda Classe","Alto"
"176","ES-2013-2220066",2013-10-12,2013-10-12,"Mesmo Dia","Critico"
"177","CA-2011-127299",2011-09-19,2011-09-24,"Classe Padrao","Alto"
"178","UP-2014-4500",2014-07-17,2014-07-19,"Segunda Classe","Critico"
"179","ES-2014-2440513",2014-11-22,2014-11-28,"Classe Padrao","Baixo"
"180","IT-2011-5629016",2011-05-30,2011-06-02,"Primeira Classe","Critico"
"181","CA-2014-133263",2014-04-01,2014-04-03,"Segunda Classe","Alto"
"182","IN-2014-65488",2014-07-17,2014-07-20,"Primeira Classe","Medio"
"183","ES-2014-5530354",2014-08-29,2014-09-03,"Classe Padrao","Medio"
"184","IN-2012-23782",2012-12-26,2012-12-26,"Mesmo Dia","Critico"
"185","ID-2013-31720",2013-05-01,2013-05-04,"Segunda Classe","Critico"
"186","ES-2011-1712442",2011-08-16,2011-08-21,"Classe Padrao","Medio"
"187","IN-2014-78900",2014-12-03,2014-12-07,"Classe Padrao","Alto"
"188","IN-2013-37803",2013-06-25,2013-06-29,"Classe Padrao","Alto"
"189","ES-2013-3939561",2013-01-21,2013-01-24,"Segunda Classe","Medio"
"190","CA-2013-138478",2013-10-22,2013-10-27,"Segunda Classe","Medio"
"191","IN-2014-56808",2014-07-12,2014-07-14,"Segunda Classe","Critico"
"192","US-2013-116729",2013-12-26,2013-12-29,"Primeira Classe","Medio"
"193","ES-2014-1972860",2014-09-01,2014-09-01,"Mesmo Dia","Critico"
"194","CA-2011-119375",2011-11-17,2011-11-22,"Classe Padrao","Alto"
"195","IN-2011-64326",2011-06-07,2011-06-11,"Segunda Classe","Medio"
"196","ES-2011-3259196",2011-10-13,2011-10-13,"Mesmo Dia","Critico"
"197","IN-2013-48184",2013-06-10,2013-06-10,"Mesmo Dia","Critico"
"198","IN-2014-77017",2014-12-13,2014-12-17,"Classe Padrao","Medio"
"199","CA-2014-150091",2014-10-13,2014-10-17,"Classe Padrao","Alto"
"200","ID-2014-31363",2014-06-10,2014-06-11,"Primeira Classe","Alto"
"201","SF-2011-6380",2011-02-15,2011-02-16,"Primeira Classe","Critico"
"202","ES-2013-1692384",2013-11-28,2013-12-04,"Classe Padrao","Baixo"
"203","CA-2014-165323",2014-06-18,2014-06-22,"Classe Padrao","Alto"
"204","CA-2013-168354",2013-09-20,2013-09-22,"Primeira Classe","Alto"
"205","US-2011-158554",2011-08-09,2011-08-09,"Mesmo Dia","Alto"
"206","CA-2011-141796",2011-06-21,2011-06-21,"Mesmo Dia","Critico"
"207","IN-2012-12162",2012-08-02,2012-08-04,"Primeira Classe","Alto"
"208","CA-2012-113404",2012-07-16,2012-07-16,"Mesmo Dia","Critico"
"209","IR-2013-8520",2013-08-02,2013-08-02,"Mesmo Dia","Critico"
"210","IN-2014-68463",2014-05-22,2014-05-25,"Segunda Classe","Critico"
"211","ID-2011-64599",2011-02-10,2011-02-15,"Classe Padrao","Medio"
"212","ES-2013-4632541",2013-09-27,2013-09-27,"Mesmo Dia","Critico"
"213","IN-2014-23761",2014-06-02,2014-06-04,"Primeira Classe","Critico"
"214","IN-2013-16964",2013-09-30,2013-10-03,"Primeira Classe","Critico"
"215","IN-2011-76989",2011-07-19,2011-07-20,"Primeira Classe","Alto"
"216","RS-2014-4620",2014-08-14,2014-08-16,"Segunda Classe","Medio"
"217","CA-2013-147417",2013-07-26,2013-07-28,"Primeira Classe","Critico"
"218","IN-2014-61393",2014-10-31,2014-11-03,"Primeira Classe","Alto"
"219","IN-2013-13891",2013-07-25,2013-07-30,"Classe Padrao","Medio"
"220","IN-2014-32770",2014-10-07,2014-10-11,"Classe Padrao","Alto"
"221","IN-2014-14780",2014-10-17,2014-10-21,"Classe Padrao","Alto"
"222","IN-2013-71585",2013-12-03,2013-12-06,"Segunda Classe","Critico"
"223","IN-2014-20485",2014-11-08,2014-11-10,"Primeira Classe","Alto"
"224","IT-2011-4771701",2011-09-21,2011-09-23,"Segunda Classe","Critico"
"225","IT-2011-2876489",2011-06-21,2011-06-24,"Primeira Classe","Alto"
"226","CA-2014-133865",2014-05-09,2014-05-13,"Classe Padrao","Alto"
"227","CA-2014-158379",2014-09-23,2014-09-27,"Segunda Classe","Medio"
"228","SF-2014-2330",2014-11-26,2014-11-29,"Segunda Classe","Critico"
"229","EG-2012-4640",2012-03-30,2012-04-01,"Primeira Classe","Critico"
"230","MX-2011-138002",2011-11-10,2011-11-15,"Segunda Classe","Medio"
"231","US-2014-102183",2014-08-22,2014-08-29,"Classe Padrao","Medio"
"232","ES-2012-5113958",2012-08-01,2012-08-06,"Segunda Classe","Medio"
"233","CA-2014-120376",2014-12-23,2014-12-26,"Primeira Classe","Alto"
"234","CA-2014-168109",2014-07-04,2014-07-04,"Mesmo Dia","Alto"
"235","CA-2014-111556",2014-11-21,2014-11-23,"Primeira Classe","Critico"
"236","AJ-2013-2640",2013-01-23,2013-01-27,"Classe Padrao","Alto"
"237","IN-2011-67651",2011-05-21,2011-05-25,"Segunda Classe","Alto"
"238","ES-2014-4957212",2014-09-28,2014-10-01,"Primeira Classe","Alto"
"239","IT-2011-3528798",2011-11-06,2011-11-08,"Primeira Classe","Critico"
"240","LH-2014-5390",2014-01-28,2014-01-30,"Segunda Classe","Alto"
"241","IN-2014-32588",2014-09-13,2014-09-19,"Classe Padrao","Medio"
"242","CA-2012-137113",2012-12-01,2012-12-05,"Segunda Classe","Alto"
"243","US-2011-161760",2011-12-22,2011-12-24,"Primeira Classe","Alto"
"244","EG-2013-4530",2013-02-05,2013-02-07,"Segunda Classe","Critico"
"245","IN-2011-51964",2011-12-28,2011-12-29,"Primeira Classe","Critico"
"246","CA-2013-122903",2013-05-28,2013-05-30,"Segunda Classe","Alto"
"247","LT-2011-270",2011-04-27,2011-04-30,"Primeira Classe","Alto"
"248","IN-2011-86278",2011-10-06,2011-10-11,"Classe Padrao","Alto"
"249","ID-2013-17055",2013-08-24,2013-08-26,"Segunda Classe","Critico"
"250","MX-2013-151764",2013-09-21,2013-09-24,"Segunda Classe","Critico"
"251","MX-2014-124744",2014-12-17,2014-12-19,"Primeira Classe","Critico"
"252","US-2011-106992",2011-09-19,2011-09-21,"Segunda Classe","Medio"
"253","CA-2011-117639",2011-05-21,2011-05-25,"Classe Padrao","Alto"
"254","MX-2014-140305",2014-06-03,2014-06-07,"Classe Padrao","Alto"
"255","MX-2014-113845",2014-09-12,2014-09-14,"Primeira Classe","Critico"
"256","IN-2014-61932",2014-04-17,2014-04-17,"Mesmo Dia","Critico"
"257","ES-2012-4589770",2012-11-21,2012-11-24,"Segunda Classe","Critico"
"258","ES-2014-1331794",2014-03-06,2014-03-08,"Primeira Classe","Critico"
"259","ES-2012-4621754",2012-07-23,2012-07-28,"Classe Padrao","Alto"
"260","ID-2014-41191",2014-11-07,2014-11-09,"Primeira Classe","Alto"
"261","MX-2014-128405",2014-11-22,2014-11-24,"Primeira Classe","Critico"
"262","ES-2011-1858721",2011-06-11,2011-06-14,"Primeira Classe","Alto"
"263","MX-2012-168865",2012-09-14,2012-09-19,"Classe Padrao","Alto"
"264","IN-2011-52279",2011-11-25,2011-11-25,"Mesmo Dia","Critico"
"265","IN-2012-14724",2012-08-10,2012-08-12,"Primeira Classe","Alto"
"266","ES-2013-3042991",2013-03-20,2013-03-23,"Segunda Classe","Alto"
"267","LT-2013-3900",2013-12-30,2014-01-04,"Classe Padrao","Medio"
"268","IN-2012-18518",2012-10-04,2012-10-09,"Classe Padrao","Alto"
"269","IT-2012-4058325",2012-08-06,2012-08-07,"Primeira Classe","Critico"
"270","IN-2012-42220",2012-10-02,2012-10-02,"Mesmo Dia","Alto"
"271","IN-2014-17972",2014-03-26,2014-03-29,"Primeira Classe","Critico"
"272","MX-2014-151554",2014-11-21,2014-11-21,"Mesmo Dia","Alto"
"273","IT-2011-3270900",2011-11-30,2011-12-01,"Primeira Classe","Critico"
"274","CA-2012-123113",2012-11-23,2012-11-27,"Segunda Classe","Medio"
"275","RO-2012-9480",2012-12-06,2012-12-06,"Mesmo Dia","Alto"
"276","MX-2013-109981",2013-12-03,2013-12-04,"Primeira Classe","Alto"
"277","MX-2012-130351",2012-12-20,2012-12-24,"Classe Padrao","Alto"
"278","MX-2012-135076",2012-09-13,2012-09-15,"Segunda Classe","Medio"
"279","CA-2013-114972",2013-11-04,2013-11-07,"Primeira Classe","Critico"
"280","CA-2013-146633",2013-11-16,2013-11-18,"Segunda Classe","Critico"
"281","CA-2013-110499",2013-04-08,2013-04-10,"Primeira Classe","Alto"
"282","TU-2012-2690",2012-05-23,2012-05-26,"Primeira Classe","Alto"
"283","CA-2014-166709",2014-11-18,2014-11-23,"Classe Padrao","Medio"
"284","SG-2014-9460",2014-04-14,2014-04-17,"Segunda Classe","Medio"
"285","MX-2014-164217",2014-08-29,2014-09-02,"Classe Padrao","Alto"
"286","ID-2014-80657",2014-05-16,2014-05-18,"Segunda Classe","Alto"
"287","CM-2012-6440",2012-12-13,2012-12-15,"Primeira Classe","Critico"
"288","ES-2011-5287434",2011-03-31,2011-04-04,"Classe Padrao","Alto"
"289","IN-2012-79439",2012-02-04,2012-02-08,"Segunda Classe","Medio"
"290","IN-2013-58929",2013-05-29,2013-06-01,"Segunda Classe","Medio"
"291","IT-2012-2646674",2012-08-29,2012-09-01,"Primeira Classe","Critico"
"292","IN-2011-63577",2011-06-15,2011-06-17,"Primeira Classe","Critico"
"293","IN-2014-16068",2014-08-28,2014-08-31,"Primeira Classe","Medio"
"294","MX-2011-150973",2011-10-27,2011-10-28,"Primeira Classe","Critico"
"295","RS-2014-4120",2014-03-19,2014-03-23,"Segunda Classe","Medio"
"296","MX-2014-154935",2014-09-11,2014-09-18,"Classe Padrao","Baixo"
"297","ID-2012-83604",2012-08-28,2012-08-28,"Mesmo Dia","Critico"
"298","US-2014-117723",2014-08-16,2014-08-19,"Segunda Classe","Alto"
"299","IN-2013-81112",2013-08-01,2013-08-04,"Segunda Classe","Critico"
"300","CA-2013-147368",2013-06-10,2013-06-13,"Primeira Classe","Critico"
"301","SF-2014-3560",2014-12-24,2014-12-27,"Primeira Classe","Medio"
"302","CA-2012-147830",2012-12-15,2012-12-18,"Primeira Classe","Alto"
"303","ES-2012-1439357",2012-02-23,2012-02-26,"Primeira Classe","Alto"
"304","IN-2014-16054",2014-10-11,2014-10-13,"Segunda Classe","Critico"
"305","US-2014-148817",2014-04-21,2014-04-23,"Segunda Classe","Critico"
"306","IN-2013-50809",2013-06-12,2013-06-17,"Classe Padrao","Medio"
"307","ES-2013-1211534",2013-09-17,2013-09-20,"Primeira Classe","Alto"
"308","IN-2014-81154",2014-09-19,2014-09-19,"Mesmo Dia","Critico"
"309","IT-2014-2009199",2014-11-26,2014-12-03,"Classe Padrao","Medio"
"310","IN-2014-51432",2014-06-20,2014-06-26,"Classe Padrao","Baixo"
"311","HU-2014-7310",2014-10-23,2014-10-25,"Primeira Classe","Alto"
"312","IN-2011-26176",2011-08-16,2011-08-20,"Classe Padrao","Medio"
"313","CA-2012-102491",2012-08-24,2012-08-28,"Classe Padrao","Alto"
"314","ES-2014-5345830",2014-01-14,2014-01-16,"Primeira Classe","Alto"
"315","ID-2014-58271",2014-11-13,2014-11-15,"Segunda Classe","Critico"
"316","ID-2013-57949",2013-06-13,2013-06-13,"Mesmo Dia","Alto"
"317","US-2012-128587",2012-12-24,2012-12-30,"Classe Padrao","Medio"
"318","IN-2014-68750",2014-09-22,2014-09-25,"Segunda Classe","Critico"
"319","AO-2011-1670",2011-01-08,2011-01-13,"Classe Padrao","Alto"
"320","CA-2013-118689",2013-10-03,2013-10-10,"Classe Padrao","Medio"
"321","IN-2013-42535",2013-07-30,2013-07-30,"Mesmo Dia","Critico"
"322","IN-2014-27947",2014-04-30,2014-05-04,"Classe Padrao","Medio"
"323","MX-2011-158204",2011-09-28,2011-09-30,"Segunda Classe","Alto"
"324","IN-2014-56206",2014-06-24,2014-06-28,"Classe Padrao","Medio"
"325","IT-2011-3316894",2011-04-06,2011-04-08,"Primeira Classe","Alto"
"326","IT-2014-2819680",2014-08-07,2014-08-09,"Segunda Classe","Critico"
"327","US-2013-138408",2013-11-19,2013-11-22,"Segunda Classe","Critico"
"328","ES-2014-2179863",2014-02-14,2014-02-16,"Primeira Classe","Critico"
"329","US-2014-110576",2014-11-29,2014-12-03,"Classe Padrao","Alto"
"330","RO-2012-8470",2012-08-17,2012-08-19,"Segunda Classe","Critico"
"331","CA-2012-111514",2012-08-31,2012-09-02,"Primeira Classe","Alto"
"332","MX-2012-157987",2012-08-07,2012-08-08,"Primeira Classe","Alto"
"333","US-2014-105935",2014-01-27,2014-02-01,"Classe Padrao","Alto"
"334","CA-2011-139892",2011-09-08,2011-09-12,"Classe Padrao","Medio"
"335","IN-2012-45825",2012-08-09,2012-08-11,"Primeira Classe","Critico"
"336","ID-2013-58642",2013-02-21,2013-02-22,"Primeira Classe","Alto"
"337","ID-2012-65411",2012-07-18,2012-07-19,"Primeira Classe","Alto"
"338","CA-2011-144624",2011-11-19,2011-11-23,"Classe Padrao","Alto"
"339","ES-2014-4032097",2014-04-09,2014-04-12,"Primeira Classe","Critico"
"340","ES-2012-4108483",2012-06-18,2012-06-20,"Segunda Classe","Medio"
"341","ES-2013-5810502",2013-12-31,2014-01-02,"Primeira Classe","Alto"
"342","CA-2014-138149",2014-06-30,2014-07-01,"Primeira Classe","Alto"
"343","IT-2012-3796476",2012-01-16,2012-01-18,"Primeira Classe","Alto"
"344","CG-2012-8310",2012-06-12,2012-06-14,"Primeira Classe","Medio"
"345","IN-2014-39735",2014-03-17,2014-03-22,"Segunda Classe","Medio"
