"","id_pedido","id_cliente","id_produto","valor_venda","quantidade_venda","custo_envio"
"163","SA-2014-1270","LC-7050","TEC-CIS-10002344",5211.12,8,463.98
"164","IN-2011-10286","PB-19210","FUR-TA-10002153",1356.03,3,458.97
"165","IN-2014-12897","CG-12520","OFF-AP-10004964",3569.643,7,458.54
"166","CA-2013-134887","TB-21280","TEC-AC-10003832",1287.45,5,457.14
"167","ID-2014-10076","HG-15025","FUR-BO-10004679",2910.0816,8,456.32
"168","ID-2013-70122","AD-10180","FUR-CH-10002061",3126.4002,9,455.71
"169","ES-2011-2257437","BP-11155","TEC-PH-10002759",5276.988,9,454.81
"170","ID-2014-63920","AA-10480","TEC-PH-10001699",2645.376,5,452.6
"171","ID-2013-29564","RL-19615","FUR-BO-10001934",1637.01,5,452.28
"172","CA-2013-108196","CS-12505","TEC-MA-10000418",4499.985,5,451.63
"173","ID-2012-36403","SW-20245","TEC-PH-10001699",2645.376,5,451.03
"174","CA-2014-127180","TA-21385","TEC-PH-10001494",2399.6,8,449.45
"175","IN-2011-19351","BW-11110","FUR-TA-10001889",3238.305,5,449.18
"176","ES-2014-5842530","YC-21895","FUR-BO-10000490",2291.814,7,448.91
"177","MX-2011-137897","JM-15580","TEC-PH-10000018",2124.5,5,447.66
"178","BO-2014-8960","MZ-7335","FUR-HON-10003533",2757.78,6,446.33
"179","ES-2013-2220066","JF-15295","TEC-AC-10001949",1549.98,6,443.92
"180","CA-2011-127299","JL-15835","TEC-MA-10001127",2624.985,3,443.69
"181","UP-2014-4500","DJ-3510","OFF-HOO-10004910",3146.4,6,443.55
"182","ES-2014-2440513","MF-18250","TEC-MA-10001335",2456.619,11,442.49
"183","IT-2011-5629016","TC-21295","FUR-TA-10000347",2228.6355,7,440.25
"184","CA-2014-133263","JE-15610","TEC-CO-10001449",2999.95,5,439.69
"185","IN-2014-65488","CP-12340","OFF-AP-10002090",4001.04,8,439.65
"186","ES-2014-5530354","EH-14125","TEC-PH-10000493",4876.875,9,439.41
"187","IN-2012-23782","NC-18340","FUR-TA-10003596",1788.822,6,439.03
"188","IN-2014-37320","BF-11005","OFF-AP-10002244",3622.29,7,438.89
"189","ID-2013-31720","JS-16030","FUR-TA-10003179",1242.585,5,437.85
"190","ES-2011-1712442","AM-10360","TEC-PH-10001396",4453.05,7,433.41
"191","IN-2014-78900","JF-15190","FUR-TA-10003078",2673.36,8,432.57
"192","IN-2013-37803","AB-10015","FUR-CH-10003581",2046.195,5,432.15
"193","ES-2013-3939561","JG-15160","FUR-TA-10000184",5451.3,6,432.13
"194","CA-2013-138478","DP-13390","OFF-BI-10001120",4535.976,3,431.68
"195","IN-2014-56808","AG-10330","OFF-AP-10001956",1722.2832,4,430.04
"196","US-2013-116729","GK-14620","TEC-PH-10002200",2575.944,7,429.66
"197","ES-2014-1972860","NF-18475","OFF-AP-10003382",1007.424,2,428.83
"198","CA-2011-119375","YC-21895","OFF-ST-10002011",2934.33,7,428.8
"199","IN-2011-64326","DR-12940","OFF-AP-10003917",4624.29,9,427.46
"200","ES-2011-3259196","NB-18655","OFF-ST-10002900",1066.446,6,427.24
"201","IN-2013-48184","NM-18445","TEC-CO-10003819",957.6,4,427.1
"202","IN-2014-77017","TA-21385","OFF-AP-10000675",4864.32,10,426.09
"203","CA-2014-150091","NP-18670","FUR-BO-10003404",2154.9,5,426.05
"204","ID-2014-31363","SC-20380","OFF-AP-10001824",1433.8395,3,424.81
"205","SF-2011-6380","PA-9060","OFF-SME-10000746",2784.6,14,422.25
"206","ES-2013-1692384","RB-19570","FUR-BO-10004999",3063.27,7,419.38
"207","CA-2014-165323","SR-20740","TEC-MA-10003673",3404.5,5,419.06
"208","CA-2013-168354","RH-19510","OFF-ST-10001490",1606.23,9,418.26
"209","US-2011-158554","LH-16750","TEC-PH-10004196",2044.8,6,417.99
"210","CA-2011-141796","JG-15160","TEC-PH-10001578",1214.85,3,417.47
"211","IN-2012-12162","KB-16585","TEC-CO-10000208",1521,4,416.74
"212","ES-2012-2510515","LH-17155","OFF-AP-10002330",2443.905,5,416.33
"213","CA-2012-113404","EM-13810","FUR-CH-10003312",1348.704,6,415.69
"214","IR-2013-8520","MZ-7515","TEC-EPS-10000053",1141.8,10,415.01
"215","IN-2014-68463","DM-13345","OFF-ST-10004060",1865.97,9,413.95
"216","ID-2011-64599","CA-11965","TEC-PH-10000303",6998.64,11,413.8
"217","ES-2013-4632541","SC-20305","FUR-BO-10002708",1091.25,3,411.64
"218","IN-2014-23761","MH-18115","FUR-BO-10000210",1094.22,3,411.06
"219","IN-2013-16964","KS-16300","FUR-BO-10001192",1320.624,4,410.88
"220","IN-2011-76989","BG-11740","TEC-PH-10004664",2555.64,4,410.22
"221","RS-2014-4620","CR-2625","FUR-SAU-10002255",3498.72,8,410.05
"222","CA-2013-147417","CB-12415","TEC-CO-10001449",1439.976,4,408.79
"223","IN-2014-61393","DK-13090","TEC-CO-10001954",2272.86,6,406.53
"224","IN-2013-13891","JL-15835","TEC-PH-10003002",5211.12,8,404.97
"225","IN-2014-32770","AP-10720","TEC-PH-10003856",2582.16,4,404.08
"226","IN-2014-14780","CR-12820","TEC-PH-10004664",3194.55,5,403.97
"227","IN-2013-71585","BF-11080","FUR-CH-10000974",1704.996,4,403.46
"228","IN-2014-20485","JM-15265","OFF-AP-10003866",1538.721,6,403.26
"229","IN-2013-48184","NM-18445","FUR-CH-10003616",1381.32,3,403.15
"230","IT-2011-4771701","TW-21025","FUR-BO-10004999",1181.547,3,401.25
"231","IT-2011-2876489","RB-19330","FUR-CH-10000479",1696.248,4,401.13
"232","CA-2014-133865","PS-19045","TEC-CO-10001046",3359.952,6,400.6
"233","CA-2014-158379","JA-15970","OFF-SU-10002881",4663.736,7,400.04
"234","SF-2014-2330","AB-60","OFF-HOO-10000318",1237.56,4,400.03
"235","EG-2012-4640","JR-5670","TEC-NOK-10001283",1274.7,2,399.96
"236","MX-2011-138002","MD-17350","OFF-AP-10000407",3172.14,9,399.85
"237","US-2014-102183","PK-19075","OFF-BI-10001359",4305.552,6,398.64
"238","ES-2012-5113958","EB-13840","OFF-AP-10004512",3979.29,7,398.5
"239","CA-2014-120376","TP-21130","FUR-CH-10002335",1586.69,7,397.52
"240","CA-2014-168109","JK-15640","TEC-MA-10001148",2395.2,6,396.92
"241","CA-2014-111556","CD-11920","TEC-PH-10001459",1259.97,3,394.57
"242","AJ-2013-2640","JL-5835","FUR-BAR-10004434",2058,4,393.62
"243","IN-2011-67651","EP-13915","FUR-BO-10002444",2539.8765,7,393.58
"244","ES-2014-4957212","MS-17770","FUR-BO-10004709",2898.21,7,393.46
"245","IT-2011-3528798","CM-12655","TEC-MA-10004772",1320.0075,5,390.2
"246","LH-2014-5390","JC-6105","FUR-BAR-10003532",2171.16,8,390.09
"247","IN-2014-32588","GB-14530","TEC-CO-10002911",4448.223,13,386.38
"248","CA-2012-137113","TW-21025","FUR-TA-10001705",1913.4,9,386.21
"249","US-2011-161760","JH-16180","TEC-PH-10000169",2300.616,9,386
"250","EG-2013-4530","MT-8070","FUR-SAU-10004653",2615.94,6,384.41
"251","IN-2011-51964","AB-10105","TEC-CO-10002526",1066.68,3,383.68
"252","CA-2013-122903","LA-16780","FUR-CH-10002024",3504.9,5,383.35
"253","LT-2011-270","CV-2805","TEC-NOK-10004339",2544.6,4,383.01
"254","IN-2011-86278","NH-18610","FUR-TA-10000022",3694.68,4,382.77
"255","ID-2013-17055","HJ-14875","FUR-TA-10002153",2214.849,7,382.1
"256","MX-2013-151764","JL-15175","FUR-CH-10000843",1236.48,4,381.22
"257","MX-2014-124744","MY-18295","OFF-AP-10002681",1805.9,5,381.14
"258","US-2011-106992","SB-20290","TEC-MA-10000822",3059.982,3,380.77
"259","CA-2014-168109","JK-15640","TEC-AC-10002049",1687.8,4,379.56
"260","CA-2011-117639","MW-18235","OFF-BI-10003925",2715.93,7,378.83
"261","MX-2014-140305","KC-16540","OFF-AP-10004627",1810.3,5,378.26
"262","MX-2014-113845","CS-12460","TEC-PH-10001076",2120.5,5,377.7
"263","IN-2014-61932","HA-14920","TEC-PH-10001457",1275,2,377.58
"264","ES-2012-4589770","MT-17815","TEC-MA-10004534",1593.648,7,377.03
"265","ES-2014-1331794","FW-14395","FUR-BO-10003991",1114.236,3,376.88
"266","ES-2012-4621754","BH-11710","TEC-PH-10002623",2944.08,5,376.58
"267","ID-2014-41191","DK-12895","OFF-AP-10002793",3309.2598,7,374.8
"268","MX-2014-128405","KD-16270","FUR-CH-10002093",897.48,9,374.38
"269","ES-2011-1858721","SC-20845","FUR-BO-10003103",2056.05,5,372.5
"270","MX-2012-168865","CY-12745","TEC-CO-10001818",2365.6592,10,372.32
"271","IN-2011-52279","HL-15040","TEC-CO-10002040",1336.356,7,371.74
"272","IN-2012-14724","CT-11995","TEC-CO-10001654",3038.64,8,371.51
"273","ES-2013-3042991","CC-12370","OFF-AP-10002397",2698.65,9,369.98
"274","LT-2013-3900","GR-4560","TEC-CAN-10001853",3799.08,12,369.73
"275","IN-2012-18518","TT-21070","FUR-CH-10001207",2756.34,6,369.4
"276","IT-2012-4058325","PO-19195","TEC-PH-10002597",983.88,8,369.17
"277","IN-2012-42220","ED-13885","FUR-CH-10003232",1719.807,5,368.44
"278","IN-2014-17972","AP-10915","OFF-AP-10003917",1421.541,3,367.57
"279","MX-2014-151554","TM-21490","TEC-CO-10002617",1053.6884,5,367.55
"280","IT-2011-3270900","AW-10840","TEC-CO-10000556",1440.84,8,367.35
"281","IN-2011-28087","DP-13105","FUR-CH-10003232",2544.372,6,366.89
"282","CA-2012-123113","AT-10735","OFF-AP-10000275",2625.12,8,366.72
"283","RO-2012-9480","SG-10605","TEC-HEW-10003460",1554.48,8,366.58
"284","MX-2013-109981","BM-11785","TEC-PH-10004196",1278,3,365.9
"285","MX-2012-130351","FH-14365","TEC-PH-10002672",3474.08,8,365.65
"286","MX-2012-135076","DK-13375","TEC-PH-10000106",2550,6,365.2
"287","CA-2013-114972","PF-19225","OFF-AP-10003057",1101.48,4,364.76
"288","CA-2013-146633","TG-21310","OFF-BI-10003527",1016.792,1,363.87
"289","CA-2013-110499","YC-21895","TEC-CO-10002095",1199.976,3,363.78
"290","TU-2012-2690","SF-10200","TEC-SAM-10000345",934.248,14,363.73
"291","CA-2014-166709","HL-15040","TEC-CO-10004722",10499.97,3,363.19
"292","SG-2014-9460","JW-5220","TEC-CIS-10002259",3908.88,6,363.16
"293","MX-2014-164217","CC-12100","TEC-PH-10004182",2142.3,5,363.1
"294","ID-2014-80657","RD-19930","OFF-AP-10004350",1900.584,6,360.04
"295","CM-2012-6440","BP-1230","OFF-HOO-10000335",1840.68,6,359.58
"296","ES-2011-5287434","SA-20830","FUR-BO-10004129",2624.04,6,359.28
"297","IN-2012-79439","EM-13810","FUR-BO-10001372",3076.5,7,359.27
"298","IN-2013-58929","CS-12175","TEC-PH-10004664",3181.7718,6,359.09
"299","IT-2012-2646674","JD-16060","OFF-ST-10004597",1392.633,11,358.96
"300","IN-2011-63577","GH-14665","FUR-CH-10001664",1296.24,8,358.85
"301","IN-2014-16068","CM-11935","OFF-AP-10003240",1682.91,3,358.51
"302","MX-2011-150973","JB-16000","TEC-PH-10004196",1278,3,358.18
"303","RS-2014-4120","RB-9465","TEC-MOT-10003348",2570.76,4,357.89
"304","MX-2014-154935","RB-19795","FUR-TA-10000136",2332.96,5,357.79
"305","ID-2012-83604","PO-19195","FUR-BO-10002866",1582.2,6,357.21
"306","US-2014-117723","DL-13495","OFF-ST-10004459",1801.632,6,356.88
"307","IN-2013-81112","TS-21205","FUR-TA-10001276",1512,6,356.84
"308","CA-2013-147368","TC-21295","TEC-MA-10002178",695.7,2,356.68
"309","SF-2014-3560","MV-8190","TEC-APP-10002966",2550,4,355.92
"310","CA-2012-147830","NF-18385","TEC-AC-10002049",2025.36,6,355.61
"311","ES-2012-1439357","BD-11560","FUR-CH-10000685",2285.7,5,355.06
"312","IN-2014-16054","PS-18760","FUR-BO-10001541",1029.2589,9,354.47
"313","US-2014-148817","FM-14215","TEC-CO-10003931",1058.2792,5,354.42
"314","IN-2013-50809","CA-12775","TEC-PH-10000169",5751.54,9,353.85
"315","ES-2013-1211534","CD-12790","FUR-BO-10001553",2442.069,7,353.57
"316","IN-2014-81154","NL-18310","OFF-ST-10004748",1190.52,6,353.42
"317","IT-2014-2009199","TB-21055","OFF-AP-10000540",3150.819,7,353.04
"318","ES-2014-1972860","NF-18475","TEC-CO-10004567",1599.9,5,352.79
"319","IN-2014-51432","KD-16495","FUR-BO-10001749",2063.4,5,352.64
"320","HU-2014-7310","EH-4125","OFF-ROG-10003898",1269.9,6,352.52
"321","IN-2011-26176","KB-16600","FUR-BO-10001934",3274.02,9,351.08
"322","MX-2014-113845","CS-12460","TEC-PH-10002815",848.32,2,351.07
"323","CA-2012-102491","KW-16435","TEC-MA-10000864",3080,7,351.01
"324","ES-2014-5345830","MG-17695","TEC-CO-10002663",2847.36,8,350.68
"325","ID-2014-58271","VF-21715","FUR-CH-10000602",1725.75,5,350.68
"326","ID-2013-57949","AM-10705","TEC-CO-10001419",1479.3138,6,350.31
"327","US-2012-128587","HM-14860","TEC-CO-10003763",4899.93,7,350.09
"328","IN-2014-68750","BP-11290","TEC-CO-10000679",1282.23,9,349.88
"329","AO-2011-1670","HZ-4950","FUR-IKE-10001539",2478.6,6,349.87
"330","CA-2013-118689","TC-20980","TEC-CO-10004722",17499.95,5,349.07
"331","IN-2013-42535","EM-13825","TEC-CO-10002376",959.76,3,348.48
"332","CA-2012-124891","RH-19495","FUR-TA-10002903",1090.782,7,348.18
"333","IN-2014-27947","BS-11800","OFF-AP-10000136",4135.641,10,348.08
"334","MX-2011-158204","DV-13465","FUR-BO-10000567",2325.28,8,347.82
"335","IN-2014-56206","MB-17305","FUR-BO-10001471",5486.67,14,346.6
"336","IT-2011-3316894","PC-19000","OFF-ST-10001758",1523.664,8,345.81
"337","IT-2014-2819680","CA-12310","TEC-PH-10004505",1625.2425,3,345.78
"338","US-2013-138408","KC-16255","TEC-AC-10003870",1319.96,4,345.77
"339","ES-2014-2179863","MB-18085","OFF-ST-10004191",734.94,4,344.98
"340","US-2014-110576","RB-19795","FUR-TA-10004154",2065.32,12,344.98
"341","RO-2012-8470","DB-3660","FUR-OFF-10001224",1391.52,8,344.5
"342","CA-2012-111514","SC-20260","FUR-BO-10002545",1552.831,7,343.97
"343","MX-2012-157987","BG-11740","OFF-AP-10004913",2461.06,7,343.81
"344","US-2014-105935","BD-11500","TEC-PH-10001459",2939.93,7,343.25
"345","CA-2011-139892","BM-11140","TEC-MA-10000822",8159.952,8,342.11
"346","IN-2012-45825","KB-16315","TEC-MA-10002392",1226.19,7,340.09
